,month,state,cases_new,cases_recovered,cases_active,cases_unvax,cases_pvax,cases_fvax,cases_boost
285,2021-09,W.P. Kuala Lumpur,12821,23379,233924,4109,1939,6773,0
286,2021-09,W.P. Labuan,154,166,2049,65,8,81,0
287,2021-09,W.P. Putrajaya,746,809,12129,325,44,377,0
288,2021-10,Johor,22292,38097,396769,6867,2936,12486,3
289,2021-10,Kedah,13841,16780,134208,4886,1772,7178,5
290,2021-10,Kelantan,23761,29485,255378,7404,2612,13731,14
291,2021-10,Melaka,6988,8043,110542,2352,705,3931,0
292,2021-10,Negeri Sembilan,5710,5177,59744,1687,366,3656,1
293,2021-10,Pahang,12184,18014,189423,4377,1670,6131,6
294,2021-10,Perak,13956,22093,171125,3934,1743,8262,17
295,2021-10,Perlis,1539,1816,21389,514,118,907,0
296,2021-10,Pulau Pinang,14638,21551,181947,3816,1915,8902,5
297,2021-10,Sabah,19976,27392,319912,6532,1596,11843,5
298,2021-10,Sarawak,31422,58304,537855,5103,928,25291,100
299,2021-10,Selangor,37016,45966,498245,10712,2151,24151,2
300,2021-10,Terengganu,13971,18171,161502,4908,1218,7844,1
301,2021-10,W.P. Kuala Lumpur,7660,8089,108031,1969,568,5122,1
302,2021-10,W.P. Labuan,108,106,1104,20,0,88,0
303,2021-10,W.P. Putrajaya,885,854,13613,292,44,548,1
304,2021-11,Johor,13826,13952,201011,3890,230,9611,95
305,2021-11,Kedah,11156,11267,92712,3257,153,7645,101
306,2021-11,Kelantan,17351,17212,170453,4486,302,12239,324
307,2021-11,Melaka,5742,6588,71090,1613,192,3837,100
308,2021-11,Negeri Sembilan,5643,5573,68727,1501,115,3942,85
309,2021-11,Pahang,9725,9275,110840,2739,139,6750,97
310,2021-11,Perak,6815,7116,71062,1309,100,5206,200
311,2021-11,Perlis,895,953,12220,210,17,665,3
312,2021-11,Pulau Pinang,8343,7619,89704,2017,135,6132,59
313,2021-11,Sabah,15284,15965,245062,4517,223,10288,256
314,2021-11,Sarawak,9674,15119,144020,1447,93,7517,617
315,2021-11,Selangor,38793,34588,489006,8763,765,28966,299
316,2021-11,Terengganu,6845,7691,77495,1470,101,5195,79
317,2021-11,W.P. Kuala Lumpur,9132,8082,122278,1973,125,6917,117
318,2021-11,W.P. Labuan,428,316,3247,103,2,307,16
319,2021-11,W.P. Putrajaya,1488,1127,19842,493,25,949,21
320,2021-12,Johor,12977,14857,187654,3293,82,9232,370
321,2021-12,Kedah,8554,10162,72207,2224,74,5897,359
322,2021-12,Kelantan,12623,14151,125932,3167,92,8811,553
323,2021-12,Melaka,5215,6088,55333,1426,139,3363,287
324,2021-12,Negeri Sembilan,4967,5619,62107,1129,25,3570,243
325,2021-12,Pahang,8720,9949,106837,2124,58,6224,314
326,2021-12,Perak,6039,6428,63342,978,61,4566,434
327,2021-12,Perlis,843,937,12327,146,5,670,22
328,2021-12,Pulau Pinang,7914,8976,89807,1647,36,5933,298
329,2021-12,Sabah,7299,10261,185704,1979,50,4958,312
330,2021-12,Sarawak,1580,3454,25201,241,17,1064,258
331,2021-12,Selangor,33157,40280,472749,7000,199,24826,1132
332,2021-12,Terengganu,6219,5780,71230,1168,51,4774,226
333,2021-12,W.P. Kuala Lumpur,8000,9538,125706,1771,58,5814,357
334,2021-12,W.P. Labuan,325,439,2967,78,3,223,21
335,2021-12,W.P. Putrajaya,872,1249,16610,247,5,570,50
336,2022-01,Johor,14639,9543,233773,3356,67,9474,1742
337,2022-01,Kedah,9116,7575,60020,1936,38,6043,1099
338,2022-01,Kelantan,9356,9996,84599,2120,64,6254,918
339,2022-01,Melaka,5430,4846,43019,1085,31,3342,972
340,2022-01,Negeri Sembilan,5874,4190,58144,1022,40,3974,838
341,2022-01,Pahang,6415,6540,74440,1517,42,4176,680
342,2022-01,Perak,4214,4443,45740,671,32,2765,746
343,2022-01,Perlis,449,490,6264,81,0,326,42
344,2022-01,Pulau Pinang,6620,6814,51314,1321,36,4345,918
345,2022-01,Sabah,7587,5952,156409,1757,50,4966,814
346,2022-01,Sarawak,523,643,4392,82,7,214,220
347,2022-01,Selangor,29085,25128,344073,5476,140,18648,4821
348,2022-01,Terengganu,2573,4184,38852,487,14,1742,330
349,2022-01,W.P. Kuala Lumpur,9680,7303,117101,1861,54,5631,2134
350,2022-01,W.P. Labuan,232,250,2099,64,0,138,30
351,2022-01,W.P. Putrajaya,879,728,13413,217,1,485,176
352,2022-02,Johor,60281,48061,559579,10396,307,27485,22093
353,2022-02,Kedah,54693,28940,455105,10554,443,27355,16341
354,2022-02,Kelantan,36337,25550,282831,6374,252,21126,8585
355,2022-02,Melaka,15802,8101,134992,3027,149,6216,6410
356,2022-02,Negeri Sembilan,26569,13590,232032,4816,238,11287,10228
357,2022-02,Pahang,28485,13736,244552,5888,222,13261,9114
358,2022-02,Perak,17310,8115,120053,2691,237,7520,6862
359,2022-02,Perlis,4475,1946,37327,787,37,2720,931
360,2022-02,Pulau Pinang,42601,29143,258950,7012,248,19823,15518
361,2022-02,Sabah,91435,53478,844314,16492,798,48176,25969
362,2022-02,Sarawak,6989,2791,50453,883,93,1317,4696
363,2022-02,Selangor,133919,69719,1224556,23657,1027,50799,58436
364,2022-02,Terengganu,12236,6668,95127,2209,105,6151,3771
365,2022-02,W.P. Kuala Lumpur,31331,18729,312460,5117,256,9427,16531
366,2022-02,W.P. Labuan,5804,1717,43131,1233,93,1814,2664
367,2022-02,W.P. Putrajaya,3711,2277,39325,950,20,1338,1403
368,2022-03,Johor,52609,64352,539519,7285,1682,11876,31766
369,2022-03,Kedah,59719,78855,723683,8682,1158,20968,28911
370,2022-03,Kelantan,30223,40218,332949,5221,458,14098,10446
371,2022-03,Melaka,18999,23611,294563,2568,423,4839,11169
372,2022-03,Negeri Sembilan,43621,49872,507037,5718,1121,11670,25112
373,2022-03,Pahang,35552,45914,440388,6570,844,11784,16354
374,2022-03,Perak,38893,40301,382210,6504,1187,11902,19300
375,2022-03,Perlis,4628,6563,59544,784,95,2382,1367
376,2022-03,Pulau Pinang,57399,66684,433102,6284,1390,15946,33779
377,2022-03,Sabah,27855,57618,841468,4647,723,10718,11767
378,2022-03,Sarawak,38529,33025,381418,6042,1636,5203,25648
379,2022-03,Selangor,243484,223110,2559891,33849,6689,58846,144100
380,2022-03,Terengganu,23761,26378,228455,4028,331,9193,10209
381,2022-03,W.P. Kuala Lumpur,75841,74168,843352,9830,2241,12442,51328
382,2022-03,W.P. Labuan,3998,7731,35325,762,153,900,2183
383,2022-03,W.P. Putrajaya,4072,5116,52820,757,130,1126,2059
384,2022-04,Johor,9738,16969,166776,1488,593,1740,5917
385,2022-04,Kedah,6679,15778,87932,1061,219,2033,3366
386,2022-04,Kelantan,2393,5642,34702,492,56,980,865
387,2022-04,Melaka,5394,8102,89003,743,153,1461,3037
388,2022-04,Negeri Sembilan,11953,19661,159748,1390,554,3499,6510
389,2022-04,Pahang,5003,10671,81391,988,178,1291,2546
390,2022-04,Perak,11232,18184,133890,2318,520,3009,5385
391,2022-04,Perlis,552,1224,8086,105,26,240,181
392,2022-04,Pulau Pinang,9631,14586,70038,1232,349,1679,6371
393,2022-04,Sabah,3351,11506,297462,643,160,1123,1425
394,2022-04,Sarawak,6977,15796,102813,1232,345,1104,4296
395,2022-04,Selangor,146509,223667,1906633,18841,7247,27642,92779
396,2022-04,Terengganu,4425,7665,57785,821,111,1354,2139
397,2022-04,W.P. Kuala Lumpur,20444,35009,282078,2398,881,2950,14215
398,2022-04,W.P. Labuan,445,770,4083,73,25,99,248
399,2022-04,W.P. Putrajaya,1359,1639,18724,214,88,378,679
400,2022-05,Johor,2140,2486,81431,252,49,360,1479
401,2022-05,Kedah,1784,2169,1049,237,28,472,1047
402,2022-05,Kelantan,514,639,4719,92,9,189,224
403,2022-05,Melaka,2445,2911,56988,264,21,647,1513
404,2022-05,Negeri Sembilan,3283,4486,34120,251,65,792,2175
405,2022-05,Pahang,903,1276,22124,139,4,261,499
406,2022-05,Perak,3024,3885,36258,422,48,811,1743
407,2022-05,Perlis,154,183,1907,30,2,68,54
408,2022-05,Pulau Pinang,3983,4304,25459,371,73,768,2771
409,2022-05,Sabah,1334,2956,142311,188,24,411,711
410,2022-05,Sarawak,1317,1923,11893,292,20,195,810
411,2022-05,Selangor,26536,40038,297485,2329,660,4897,18650
412,2022-05,Terengganu,563,725,10010,83,17,154,309
413,2022-05,W.P. Kuala Lumpur,9196,11168,108454,668,126,1270,7132
414,2022-05,W.P. Labuan,116,160,866,11,4,21,80
415,2022-05,W.P. Putrajaya,1214,1422,15770,94,68,346,706
416,2022-06,Johor,1673,1625,72606,199,13,273,1188
417,2022-06,Kedah,1328,1336,-4482,176,17,313,822
418,2022-06,Kelantan,495,425,3379,86,7,158,244
419,2022-06,Melaka,1714,1453,49311,161,12,340,1201
420,2022-06,Negeri Sembilan,2872,2573,23615,188,27,608,2049
421,2022-06,Pahang,734,561,17443,100,10,196,428
422,2022-06,Perak,3271,2983,34219,351,37,789,2094
423,2022-06,Perlis,169,124,2001,11,1,79,78
424,2022-06,Pulau Pinang,3985,3665,24273,283,34,650,3018
425,2022-06,Sabah,2847,2068,130906,303,19,848,1677
426,2022-06,Sarawak,1284,1133,9108,191,16,182,895
427,2022-06,Selangor,23099,23566,228177,1495,213,3958,17433
428,2022-06,Terengganu,405,313,7762,49,3,99,254
429,2022-06,W.P. Kuala Lumpur,14373,10238,132275,845,88,2083,11357
430,2022-06,W.P. Labuan,82,40,395,12,3,21,46
431,2022-06,W.P. Putrajaya,1214,1071,14347,69,18,314,813
432,2022-07,Johor,2726,2279,84082,358,16,393,1959
433,2022-07,Kedah,2749,1972,5344,340,23,719,1667
434,2022-07,Kelantan,1263,948,9212,205,9,532,517
435,2022-07,Melaka,3248,2942,62214,297,20,514,2417
436,2022-07,Negeri Sembilan,5856,5008,51663,332,43,1064,4417
437,2022-07,Pahang,1616,1392,26793,170,8,405,1033
438,2022-07,Perak,8083,6613,73128,772,56,1975,5280
439,2022-07,Perlis,294,292,3376,63,3,117,111
440,2022-07,Pulau Pinang,5430,4976,32277,571,27,718,4114
441,2022-07,Sabah,6605,5636,172078,703,64,1999,3839
442,2022-07,Sarawak,1778,1639,13406,231,12,275,1260
443,2022-07,Selangor,38964,32550,354282,2901,211,6591,29261
444,2022-07,Terengganu,735,677,11224,133,4,210,388
